original_title,content,source,category
Ünlü markanın oda kokusu piyasadan toplatılıyor: Satışı yasaklandı,ünlü markanın oda kokusu piyasadan toplatılıyor satışı yasaklandı,Anlatilaninotesi.com.tr,ekonomi
Yeni ekonomi paketi TBMM'de,yeni ekonomi paketi tbmm de,Haberturk.com,ekonomi
TBMM'ye sunulan ekonomi paketiyle vergide adalet ve etkinliğin artırılması amaçlanıyor,tbmm ye sunulan ekonomi paketiyle vergide adalet ve etkinliğin artırılması amaçlanıyor,Anadolu Agency,ekonomi
İsrail-İran gerilimi enflasyon-resesyon ikilemini güçlendiriyor,i srail i ran gerilimi enflasyon resesyon ikilemini güçlendiriyor,Anadolu Agency,ekonomi
Bundesbank'tan kara senaryo: Petrol fiyatları önemli ölçüde artabilir,bundesbank tan kara senaryo petrol fiyatları önemli ölçüde artabilir,Sabah.com.tr,ekonomi
"Alman Ifo: Almanya’da şirketlerin yüzde 40,9'u faaliyetlerinde yapay zeka kullanıyor",alman ifo almanya da şirketlerin yüzde u faaliyetlerinde yapay zeka kullanıyor,Haber7.com,ekonomi
"Valday Kulübü, SPIEF kapsamında modern dünyada güvenlik konusunda etkinlikler düzenleyecek",valday kulübü spief kapsamında modern dünyada güvenlik konusunda etkinlikler düzenleyecek,Anlatilaninotesi.com.tr,ekonomi
F1 pisti İstanbul Park’ın anahtarı TOSFED’e teslim edildi,f pisti i stanbul park ın anahtarı tosfed e teslim edildi,Donanimhaber.com,ekonomi
"Peskov: Rusya, İsrail ve İran arasında arabuluculuk yapmaya hazır",peskov rusya i srail ve i ran arasında arabuluculuk yapmaya hazır,Anlatilaninotesi.com.tr,ekonomi
"Alman Ifo: Almanya’da şirketlerin yüzde 40,9'u faaliyetlerinde yapay zeka kullanıyor",alman ifo almanya da şirketlerin yüzde u faaliyetlerinde yapay zeka kullanıyor,Anadolu Agency,ekonomi
"Merkez Bankası anketiyle değişti: 6 aylık enflasyon farkı hesaplandı, memur ve emekli zammı için yeni oran ortaya çıktı",merkez bankası anketiyle değişti aylık enflasyon farkı hesaplandı memur ve emekli zammı için yeni oran ortaya çıktı,Anlatilaninotesi.com.tr,ekonomi
"Türkiye'den 16 üniversite dünya liginde ""ilk 500""de yer aldı",türkiye den üniversite dünya liginde ilk de yer aldı,Haberturk.com,ekonomi
Bursa şeftalisi dalında 50 lirayla satışa başladı,bursa şeftalisi dalında lirayla satışa başladı,Haber7.com,ekonomi
Bundesbank Başkanı Nagel: Orta Doğu'daki çatışmalar ekonomiyi ve fiyatları etkileyebilir,bundesbank başkanı nagel orta doğu daki çatışmalar ekonomiyi ve fiyatları etkileyebilir,Anadolu Agency,ekonomi
"Türkiye'den 16 üniversite dünya liginde ""ilk 500""de yer aldı",türkiye den üniversite dünya liginde ilk de yer aldı,Anadolu Agency,ekonomi
Terör örgütü ne zaman silah bırakacak? Cevdet Yılmaz'dan son dakika PKK açıklaması!,terör örgütü ne zaman silah bırakacak cevdet yılmaz dan son dakika pkk açıklaması,Haber7.com,ekonomi
Abdulkadir Selvi: İran’ın Hürmüz Boğazı’nı kapatmasıyla petrol fiyatının 120 dolara yükselmesinden endişe ediliyor,abdulkadir selvi i ran ın hürmüz boğazı nı kapatmasıyla petrol fiyatının dolara yükselmesinden endişe ediliyor,Anlatilaninotesi.com.tr,ekonomi
Haftanın ilk gününe rekorla başladı: Gram altında yeni zirve,haftanın ilk gününe rekorla başladı gram altında yeni zirve,Anlatilaninotesi.com.tr,ekonomi
Kabine Toplantısı gündem maddeleri,kabine toplantısı gündem maddeleri,Haberturk.com,ekonomi
Teknoloji ve finans uzmanlarını buluşturan zirve sona erdi,teknoloji ve finans uzmanlarını buluşturan zirve sona erdi,Sabah.com.tr,ekonomi
Akaryakıta bu gece yarısı büyük zam geliyor: Motorinde fiyat değişecek,akaryakıta bu gece yarısı büyük zam geliyor motorinde fiyat değişecek,Anlatilaninotesi.com.tr,ekonomi
Kabine Toplantısı ne zaman?,kabine toplantısı ne zaman,Haberturk.com,ekonomi
