original_title,content,source,category
Ünlü markanın oda kokusu piyasadan toplatılıyor: Satışı yasaklandı,ünl marka oda koku piyasa toplatılıyor satış yasakland,Anlatilaninotesi.com.tr,ekonomi
Yeni ekonomi paketi TBMM'de,yen ekonom paket tbmm de,Haberturk.com,ekonomi
TBMM'ye sunulan ekonomi paketiyle vergide adalet ve etkinliğin artırılması amaçlanıyor,tbmm ye sunulan ekonom paketiyle vergi adalet ve etkinliğ artırılma amaçlanıyor,Anadolu Agency,ekonomi
İsrail-İran gerilimi enflasyon-resesyon ikilemini güçlendiriyor,i srail i ran gerilim enflasyon resesyon ikilemin güçlendiriyor,Anadolu Agency,ekonomi
Bundesbank'tan kara senaryo: Petrol fiyatları önemli ölçüde artabilir,bundesbank tan kara senaryo petrol fiyatlar öneml ölçü artabilir,Sabah.com.tr,ekonomi
"Alman Ifo: Almanya’da şirketlerin yüzde 40,9'u faaliyetlerinde yapay zeka kullanıyor",alman ifo almanya da şirketler yüz u faaliyetlerin yapay zeka kullanıyor,Haber7.com,ekonomi
"Valday Kulübü, SPIEF kapsamında modern dünyada güvenlik konusunda etkinlikler düzenleyecek",valday kulüb spief kapsamın modern dünya güvenlik konusun etkinlik düzenleyecek,Anlatilaninotesi.com.tr,ekonomi
F1 pisti İstanbul Park’ın anahtarı TOSFED’e teslim edildi,f pist i stanbul park ın anahtar tosfed e teslim edild,Donanimhaber.com,ekonomi
"Peskov: Rusya, İsrail ve İran arasında arabuluculuk yapmaya hazır",peskov rusya i srail ve i ran arasın arabuluculuk yapmaya hazır,Anlatilaninotesi.com.tr,ekonomi
"Alman Ifo: Almanya’da şirketlerin yüzde 40,9'u faaliyetlerinde yapay zeka kullanıyor",alman ifo almanya da şirketler yüz u faaliyetlerin yapay zeka kullanıyor,Anadolu Agency,ekonomi
"Merkez Bankası anketiyle değişti: 6 aylık enflasyon farkı hesaplandı, memur ve emekli zammı için yeni oran ortaya çıktı",merkez banka anketiyle değişt aylık enflasyon fark hesapland memur ve emekl zamm için yen oran ortaya çıkt,Anlatilaninotesi.com.tr,ekonomi
"Türkiye'den 16 üniversite dünya liginde ""ilk 500""de yer aldı",türkiye den üniversi dünya ligin ilk de yer ald,Haberturk.com,ekonomi
Bursa şeftalisi dalında 50 lirayla satışa başladı,bursa şeftali dalın lirayla satışa başlad,Haber7.com,ekonomi
Bundesbank Başkanı Nagel: Orta Doğu'daki çatışmalar ekonomiyi ve fiyatları etkileyebilir,bundesbank başkan nagel orta doğ dak çatışma ekonomiy ve fiyatlar etkileyebilir,Anadolu Agency,ekonomi
"Türkiye'den 16 üniversite dünya liginde ""ilk 500""de yer aldı",türkiye den üniversi dünya ligin ilk de yer ald,Anadolu Agency,ekonomi
Terör örgütü ne zaman silah bırakacak? Cevdet Yılmaz'dan son dakika PKK açıklaması!,terör örgüt ne zaman silah bırakacak cevdet yılmaz dan son dakika pkk açıklama,Haber7.com,ekonomi
Abdulkadir Selvi: İran’ın Hürmüz Boğazı’nı kapatmasıyla petrol fiyatının 120 dolara yükselmesinden endişe ediliyor,abdulkadir selv i ran ın hürmüz boğaz nı kapatmasıyla petrol fiyatı dolara yükselmesin endişe ediliyor,Anlatilaninotesi.com.tr,ekonomi
Haftanın ilk gününe rekorla başladı: Gram altında yeni zirve,hafta ilk gününe rekorla başlad gram altın yen zirve,Anlatilaninotesi.com.tr,ekonomi
Kabine Toplantısı gündem maddeleri,kabine toplantı gündem maddeler,Haberturk.com,ekonomi
Teknoloji ve finans uzmanlarını buluşturan zirve sona erdi,teknoloj ve finans uzmanların buluşturan zirve sona erd,Sabah.com.tr,ekonomi
Akaryakıta bu gece yarısı büyük zam geliyor: Motorinde fiyat değişecek,akaryakı bu gece yarı büyük zam geliyor motorin fiyat değişecek,Anlatilaninotesi.com.tr,ekonomi
Kabine Toplantısı ne zaman?,kabine toplantı ne zaman,Haberturk.com,ekonomi
"Kabine Toplantısı'nda yoğun gündem: İsrail-İran çatışması, maaş zamları...",kabine toplantı nda yoğ gündem i srail i ran çatışma maaş zamlar,Haberturk.com,ekonomi
Altın fiyatlarında son durum,alt fiyatların son durum,Haberturk.com,ekonomi
ÖZLEM DOĞANER / Küresel piyasaların gözü Ortadoğu’da,özlem doğaner küresel piyasalar göz ortadoğ da,Sabah.com.tr,ekonomi
Korkusuz Kalem Osman Ferit : Savaş bizi de zorlayacak!,korkusuz kalem osman ferit savaş biz de zorlayacak,Yazaroku.com,ekonomi
